iter	Passed	Remaining
1200	3377	7870
1201	3379	7866
1202	3381	7863
1203	3384	7859
1204	3386	7855
1205	3389	7852
1206	3392	7850
1207	3395	7846
1208	3398	7844
1209	3400	7840
1210	3403	7837
1211	3406	7835
1212	3408	7831
1213	3411	7829
1214	3414	7826
1215	3417	7824
1216	3419	7820
1217	3424	7821
1218	3427	7818
1219	3429	7814
1220	3431	7810
1221	3434	7806
1222	3436	7803
1223	3441	7804
1224	3443	7801
1225	3446	7797
1226	3448	7793
1227	3451	7790
1228	3453	7786
1229	3457	7785
1230	3460	7783
1231	3462	7779
1232	3464	7775
1233	3467	7771
1234	3470	7769
1235	3473	7767
1236	3476	7764
1237	3478	7760
1238	3481	7757
1239	3483	7754
1240	3487	7753
1241	3490	7750
1242	3492	7746
1243	3494	7742
1244	3497	7738
1245	3499	7734
1246	3503	7735
1247	3506	7732
1248	3509	7729
1249	3511	7725
1250	3513	7721
1251	3516	7718
1252	3521	7720
1253	3524	7718
1254	3527	7716
1255	3530	7714
1256	3534	7712
1257	3538	7712
1258	3541	7711
1259	3544	7707
1260	3546	7704
1261	3549	7700
1262	3552	7699
1263	3555	7695
1264	3557	7691
1265	3560	7688
1266	3562	7684
1267	3564	7680
1268	3568	7679
1269	3570	7675
1270	3573	7671
1271	3575	7668
1272	3577	7664
1273	3580	7660
1274	3583	7658
1275	3585	7654
1276	3588	7651
1277	3591	7649
1278	3594	7646
1279	3596	7643
1280	3599	7641
1281	3602	7637
1282	3605	7634
1283	3608	7632
1284	3611	7630
1285	3613	7626
1286	3617	7625
1287	3620	7623
1288	3624	7622
1289	3627	7620
1290	3632	7622
1291	3636	7621
1292	3639	7619
1293	3642	7617
1294	3646	7616
1295	3651	7617
1296	3654	7616
1297	3657	7614
1298	3662	7614
1299	3666	7614
1300	3669	7613
1301	3673	7611
1302	3676	7610
1303	3680	7610
1304	3683	7607
1305	3686	7605
1306	3689	7602
1307	3694	7604
1308	3697	7602
1309	3700	7599
1310	3703	7596
1311	3706	7593
1312	3709	7590
1313	3711	7587
1314	3714	7583
1315	3716	7580
1316	3718	7576
1317	3721	7572
1318	3723	7567
1319	3726	7566
1320	3729	7563
1321	3731	7559
1322	3734	7555
1323	3736	7551
1324	3739	7549
1325	3741	7545
1326	3744	7543
1327	3747	7539
1328	3749	7535
1329	3751	7531
1330	3754	7528
1331	3756	7524
1332	3759	7522
1333	3762	7518
1334	3764	7515
1335	3766	7511
1336	3769	7507
1337	3771	7503
1338	3774	7500
1339	3776	7496
1340	3779	7493
1341	3781	7489
1342	3783	7485
1343	3786	7482
1344	3788	7478
1345	3792	7476
1346	3794	7473
1347	3796	7469
1348	3799	7467
1349	3802	7464
1350	3804	7460
1351	3807	7458
1352	3810	7454
1353	3813	7451
1354	3816	7449
1355	3818	7446
1356	3821	7442
1357	3824	7441
1358	3827	7437
1359	3829	7434
1360	3832	7430
1361	3835	7428
1362	3838	7427
1363	3842	7425
1364	3844	7422
1365	3847	7418
1366	3849	7414
1367	3851	7410
1368	3856	7410
1369	3859	7408
1370	3861	7404
1371	3863	7400
1372	3865	7396
1373	3867	7392
1374	3871	7390
1375	3875	7389
1376	3877	7386
1377	3879	7382
1378	3882	7379
1379	3884	7375
1380	3888	7374
1381	3891	7372
1382	3894	7369
1383	3896	7365
1384	3899	7361
1385	3901	7358
1386	3904	7356
1387	3907	7353
1388	3909	7349
1389	3912	7345
1390	3914	7342
1391	3916	7338
1392	3920	7337
1393	3923	7334
1394	3925	7330
1395	3927	7326
1396	3930	7322
1397	3932	7319
1398	3936	7317
1399	3938	7314
1400	3941	7311
1401	3943	7307
1402	3945	7303
1403	3948	7300
1404	3953	7301
1405	3955	7298
1406	3957	7294
1407	3960	7290
1408	3962	7286
1409	3965	7283
1410	3968	7282
1411	3971	7278
1412	3973	7274
1413	3975	7271
1414	3978	7267
1415	3980	7264
1416	3984	7262
1417	3986	7259
1418	3988	7255
1419	3991	7251
1420	3993	7248
1421	3997	7246
1422	4000	7245
1423	4003	7241
1424	4005	7237
1425	4007	7233
1426	4009	7230
1427	4013	7229
1428	4017	7228
1429	4020	7225
1430	4022	7222
1431	4025	7218
1432	4027	7215
1433	4030	7211
1434	4033	7209
1435	4035	7206
1436	4038	7202
1437	4040	7199
1438	4043	7195
1439	4045	7191
1440	4049	7190
1441	4051	7187
1442	4054	7183
1443	4056	7180
1444	4058	7176
1445	4061	7172
1446	4064	7171
1447	4067	7168
1448	4069	7164
1449	4072	7161
1450	4074	7157
1451	4076	7154
1452	4079	7151
1453	4082	7148
1454	4084	7144
1455	4086	7140
1456	4089	7137
1457	4091	7133
1458	4093	7129
1459	4097	7128
1460	4099	7124
1461	4101	7120
1462	4104	7117
1463	4106	7113
1464	4108	7109
1465	4111	7107
1466	4114	7103
1467	4116	7100
1468	4118	7096
1469	4121	7092
1470	4123	7089
1471	4125	7085
1472	4129	7083
1473	4131	7080
1474	4134	7077
1475	4136	7073
1476	4138	7069
1477	4140	7065
1478	4144	7064
1479	4147	7062
1480	4150	7058
1481	4152	7055
1482	4154	7051
1483	4157	7047
1484	4159	7044
1485	4162	7042
1486	4165	7038
1487	4167	7035
1488	4169	7031
1489	4171	7027
1490	4175	7026
1491	4178	7023
1492	4180	7020
1493	4183	7016
1494	4185	7013
1495	4187	7009
1496	4190	7005
1497	4194	7005
1498	4197	7002
1499	4199	6998
1500	4201	6995
1501	4203	6991
1502	4206	6988
1503	4210	6988
1504	4213	6985
1505	4215	6981
1506	4218	6977
1507	4220	6974
1508	4222	6970
1509	4226	6969
1510	4228	6965
1511	4231	6962
1512	4233	6958
1513	4235	6955
1514	4238	6951
1515	4241	6949
1516	4243	6946
1517	4246	6942
1518	4248	6939
1519	4250	6935
1520	4253	6932
1521	4256	6929
1522	4259	6927
1523	4261	6923
1524	4263	6920
1525	4266	6916
1526	4269	6913
1527	4271	6910
1528	4274	6908
1529	4277	6905
1530	4279	6901
1531	4282	6898
1532	4285	6896
1533	4290	6897
1534	4294	6896
1535	4297	6894
1536	4301	6892
1537	4306	6893
1538	4310	6892
1539	4313	6890
1540	4317	6889
1541	4322	6889
1542	4326	6888
1543	4329	6886
1544	4333	6885
1545	4337	6884
1546	4340	6882
1547	4343	6880
1548	4346	6878
1549	4350	6875
1550	4354	6875
1551	4358	6874
1552	4360	6870
1553	4362	6867
1554	4365	6864
1555	4368	6862
1556	4372	6860
1557	4374	6856
1558	4376	6853
1559	4379	6849
1560	4381	6846
1561	4384	6842
1562	4387	6840
1563	4389	6837
1564	4391	6833
1565	4394	6829
1566	4396	6826
1567	4398	6822
1568	4402	6821
1569	4405	6818
1570	4407	6814
1571	4409	6811
1572	4412	6807
1573	4414	6804
1574	4419	6803
1575	4421	6801
1576	4424	6797
1577	4426	6794
1578	4428	6790
1579	4431	6786
1580	4435	6786
1581	4438	6783
1582	4440	6780
1583	4443	6777
1584	4445	6773
1585	4448	6770
1586	4451	6768
1587	4453	6764
1588	4456	6761
1589	4458	6757
1590	4461	6754
1591	4463	6751
1592	4467	6750
1593	4469	6746
1594	4472	6743
1595	4474	6739
1596	4477	6737
1597	4481	6736
1598	4485	6734
1599	4488	6732
1600	4490	6729
1601	4493	6726
1602	4497	6725
1603	4500	6722
1604	4502	6718
1605	4505	6715
1606	4507	6711
1607	4509	6708
1608	4511	6704
1609	4515	6702
1610	4517	6699
1611	4520	6696
1612	4522	6693
1613	4525	6689
1614	4527	6685
1615	4530	6683
1616	4533	6680
1617	4535	6677
1618	4538	6673
1619	4540	6670
1620	4542	6667
1621	4545	6664
1622	4548	6661
1623	4550	6657
1624	4553	6654
1625	4555	6651
1626	4557	6647
1627	4560	6644
1628	4563	6642
1629	4566	6639
1630	4568	6635
1631	4570	6632
1632	4573	6628
1633	4575	6625
1634	4579	6623
1635	4582	6621
1636	4584	6617
1637	4586	6614
1638	4589	6610
1639	4591	6606
1640	4594	6604
1641	4598	6603
1642	4601	6601
1643	4604	6598
1644	4606	6595
1645	4609	6592
1646	4613	6591
1647	4616	6588
1648	4619	6585
1649	4621	6582
1650	4623	6578
1651	4628	6578
1652	4631	6576
1653	4634	6573
1654	4637	6570
1655	4639	6567
1656	4643	6566
1657	4646	6563
1658	4649	6560
1659	4651	6557
1660	4654	6554
1661	4657	6551
1662	4660	6549
1663	4663	6546
1664	4666	6543
1665	4668	6540
1666	4671	6537
1667	4675	6536
1668	4678	6533
1669	4680	6530
1670	4683	6528
1671	4686	6524
1672	4689	6522
1673	4692	6520
1674	4695	6517
1675	4698	6514
1676	4700	6511
1677	4703	6508
1678	4706	6506
1679	4709	6503
1680	4712	6500
1681	4714	6497
1682	4717	6495
1683	4720	6492
1684	4724	6490
1685	4727	6487
1686	4729	6484
1687	4732	6481
1688	4735	6478
1689	4738	6476
1690	4740	6473
1691	4743	6470
1692	4746	6467
1693	4748	6464
1694	4751	6461
1695	4755	6460
1696	4759	6459
1697	4762	6457
1698	4765	6454
